724;875;153;203;1
1886;2043;153;199;1
1592;1745;154;201;1
1303;1459;155;207;1
1023;1171;157;207;1
735;868;248;303;1
1889;1969;268;313;54
1604;1690;281;330;54
1339;1425;286;323;54
1068;1148;299;331;44
1941;1958;332;346;26
1404;1415;336;342;26
735;820;389;429;54
1028;1140;411;435;37
1599;1687;424;469;44
804;811;433;441;26
1896;1982;442;473;44
1327;1409;454;485;44
1893;1910;476;571;40
1312;1330;488;588;40
736;819;496;526;44
1028;1111;505;552;54
1896;1988;551;585;44
1602;1686;557;603;44
1090;1100;567;577;26
1316;1393;571;603;44
736;845;575;591;37
747;834;649;690;54
1316;1425;674;685;37
1906;2009;674;685;37
1650;1730;684;707;44
810;821;697;711;26
1041;1121;704;735;44
1896;1982;735;779;54
1367;1401;754;799;38
754;825;759;790;44
1642;1715;789;830;44
1962;1970;795;803;26
1029;1139;820;830;37
735;845;833;850;37
1317;1420;885;896;37
1037;1117;890;935;54
759;847;892;941;54
1607;1715;907;918;37
1937;2018;937;966;44
825;833;945;951;26
1314;1399;945;994;54
1099;1109;949;957;26
1645;1729;980;1025;54
1896;2009;994;1022;37
756;845;1010;1045;44
1345;1389;1040;1081;4
1042;1120;1065;1093;44
734;846;1094;1107;37
1021;1048;1097;1193;40
1897;1982;1106;1147;54
1594;1673;1114;1157;44
1309;1400;1150;1200;44
1962;1970;1154;1161;26
744;835;1167;1220;54
1024;1113;1175;1209;44
1607;1674;1230;1279;44
811;821;1233;1244;26
1910;1975;1243;1270;44
1362;1429;1279;1304;44
1407;1431;1291;1380;40
1030;1133;1328;1338;37
744;825;1333;1365;44
1905;2002;1335;1347;37
1604;1690;1374;1431;44
1345;1412;1383;1411;44
1014;1104;1396;1441;54
1916;1999;1397;1441;54
736;846;1424;1437;37
1972;1984;1451;1459;26
1074;1088;1454;1465;26
1318;1427;1483;1494;37
1919;1994;1500;1529;44
1608;1699;1531;1592;44
1356;1443;1560;1614;54
1044;1123;1565;1595;44
788;820;1568;1620;38
1911;2011;1582;1592;37
1024;1051;1596;1693;40
1923;2011;1639;1676;54
1026;1114;1668;1706;44
1608;1717;1672;1683;37
2000;2012;1680;1691;26
1361;1445;1685;1713;44
1920;2012;1725;1758;44
736;838;1768;1779;37
1606;1690;1769;1814;54
1899;2011;1792;1804;37
1030;1140;1845;1856;37
1913;1999;1849;1890;54
1318;1385;1855;1903;44
744;821;1874;1929;54
1981;1990;1899;1910;26
1056;1155;1912;1957;54
1607;1690;1939;1971;44
1910;1995;1952;1974;44
799;813;1956;1965;26
1129;1142;1965;1974;26
1328;1392;1988;2020;44
1910;2011;2014;2024;37
1317;1335;2018;2141;40
1952;1985;2057;2101;38
1651;1720;2095;2124;44
1706;1727;2111;2198;40
1055;1147;2115;2143;44
1329;1408;2117;2151;44
1899;1998;2137;2146;37
1953;1984;2177;2209;38
1633;1714;2200;2235;44
1898;1999;2226;2239;37
1914;1982;2246;2270;44
1028;1140;2271;2287;37
1316;1434;2287;2297;37
1606;1716;2289;2300;37
