3080;3178;256;287;37
2914;2981;257;279;37
2752;2819;259;280;37
2326;2423;261;291;37
2544;2651;261;292;37
1997;2065;263;283;37
2162;2231;263;282;37
1042;1147;265;294;37
1574;1675;265;295;37
1796;1899;265;292;37
1246;1314;266;285;37
1410;1477;266;285;37
2897;3002;286;331;1
3081;3135;287;337;1
2731;2840;288;332;1
2326;2381;290;342;1
2564;2673;290;333;1
1980;2086;295;339;1
2146;2253;296;340;1
1060;1170;297;343;1
1574;1628;297;348;1
1391;1497;298;341;1
1814;1921;298;341;1
1228;1335;299;343;1
2348;2392;357;373;9
1566;1618;366;381;9
3057;3125;376;399;54
1087;1136;384;403;4
1583;1649;384;408;54
2006;2055;384;405;4
2170;2218;384;405;4
1838;1887;385;405;4
1253;1301;386;405;4
1419;1466;386;405;4
827;925;425;457;37
663;732;426;447;37
496;563;429;450;37
296;400;432;461;37
826;880;455;506;1
477;584;457;501;1
642;751;457;500;1
314;421;460;502;1
1847;1914;461;485;44
2179;2246;461;483;44
2014;2079;462;485;44
1241;1305;463;486;44
1087;1151;464;488;44
1434;1494;464;488;44
3068;3133;478;500;54
2351;2411;503;527;45
2559;2610;506;526;9
511;546;519;549;22
842;878;519;548;22
348;384;520;551;22
677;714;520;548;22
2576;2639;528;552;44
2915;2981;528;551;44
2739;2802;530;552;44
2166;2209;540;557;9
1078;1147;541;565;44
1425;1489;542;564;44
1241;1305;543;567;44
1591;1656;543;565;44
2326;2394;560;584;44
2188;2250;562;587;44
1847;1914;566;589;44
2014;2079;567;589;44
2914;2983;601;610;37
3079;3149;601;607;37
2749;2819;603;612;37
2583;2651;604;611;37
2565;2609;615;633;9
1063;1131;616;639;44
1419;1482;616;639;44
1570;1634;616;640;44
2760;2812;618;633;9
1243;1306;620;642;44
2318;2382;636;663;44
2576;2638;636;662;44
2915;2981;638;663;44
3078;3141;638;662;54
2776;2835;639;663;44
2178;2240;640;662;44
2013;2080;642;665;44
1847;1914;643;666;44
817;878;686;711;44
657;723;688;712;44
358;417;689;713;44
505;571;691;714;44
1410;1477;692;701;37
2783;2836;692;712;9
2592;2645;693;708;9
2907;2957;693;714;9
1079;1148;694;702;37
1247;1313;694;701;37
1573;1643;694;702;37
2610;2667;711;734;44
2924;2988;714;739;44
2163;2231;715;723;37
2326;2395;715;722;37
2583;2597;715;731;27
1998;2064;717;723;37
2751;2819;717;740;44
1832;1901;718;725;37
2289;2331;730;747;9
827;895;764;772;37
662;731;765;773;37
495;564;767;774;37
333;400;768;776;37
3107;3117;791;814;67
2778;2788;794;819;67
2941;2951;796;820;67
2609;2619;798;820;67
816;878;799;825;54
678;743;801;825;54
322;384;803;827;54
507;570;804;829;54
1419;1483;816;839;45
1871;1925;817;833;9
1071;1136;818;843;45
1244;1306;819;857;45
1561;1627;820;857;45
1843;1908;838;875;45
2014;2080;839;875;45
2173;2240;840;862;45
1426;1492;893;915;44
1079;1147;894;919;44
2172;2238;894;917;54
1242;1306;896;920;44
1832;1899;896;919;44
2014;2080;896;919;44
1563;1626;897;921;44
3081;3149;900;907;37
1046;1062;901;917;27
2750;2818;902;909;37
2917;2984;902;909;37
2584;2651;904;911;37
678;741;908;932;44
817;878;911;934;44
509;571;912;936;44
326;391;916;940;44
298;314;926;942;27
2932;2996;929;952;44
1837;1879;952;970;9
1415;1462;972;990;4
1252;1300;973;991;4
1565;1627;974;998;44
2311;2378;974;998;44
1085;1134;975;992;4
1857;1920;975;1000;44
1999;2064;975;998;44
671;720;989;1011;4
502;550;990;1011;4
818;878;990;1013;44
340;387;991;1012;4
2932;2994;1005;1029;44
1574;1643;1050;1058;37
1248;1315;1051;1058;37
1410;1477;1051;1057;37
2326;2395;1051;1059;37
1080;1148;1052;1059;37
2163;2231;1053;1059;37
1997;2066;1054;1062;37
1833;1900;1055;1063;37
2289;2330;1064;1081;9
828;896;1071;1078;37
662;732;1073;1079;37
497;564;1074;1080;37
334;401;1075;1082;37
2312;2379;1082;1107;54
1417;1463;1083;1103;4
2932;2996;1083;1107;44
1253;1301;1085;1103;4
1085;1135;1086;1105;4
1567;1635;1086;1110;54
343;390;1105;1126;4
671;719;1105;1125;4
506;553;1106;1125;4
2933;2994;1160;1185;44
1420;1483;1161;1185;44
1073;1138;1163;1185;44
1247;1306;1163;1187;44
2349;2395;1174;1192;9
680;744;1180;1203;44
329;393;1185;1208;44
511;573;1187;1211;44
2320;2387;1199;1222;54
2915;2984;1234;1242;37
3081;3151;1234;1239;37
2752;2821;1236;1243;37
2585;2652;1237;1243;37
1247;1307;1239;1264;44
1074;1137;1240;1264;44
1420;1482;1240;1265;44
1565;1628;1240;1264;54
2617;2670;1247;1265;9
1834;1901;1258;1282;44
1993;2057;1260;1284;44
2173;2244;1260;1283;44
680;744;1261;1285;44
320;385;1263;1288;44
511;573;1263;1288;44
2765;2826;1268;1294;44
2586;2653;1270;1292;44
1428;1489;1319;1342;44
1081;1149;1321;1343;44
1246;1307;1321;1346;44
1050;1065;1329;1344;27
2942;3003;1331;1356;46
681;747;1335;1360;44
2326;2396;1336;1346;37
818;880;1338;1363;44
2164;2232;1338;1347;37
511;574;1339;1364;44
349;408;1340;1366;44
